Year,Plot,Achmi,Agrsm,Amoca,Petca,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Solri,Panvi,Petpu,Poapr,Schsc,Sornu,AbvBioAnnProd
2001,X2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,139.35
2001,X3,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,80.629
2001,X5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43.071
2001,X6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,59.108
2001,X9,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,281.808
2001,X11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.75
2001,X12,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,253.259
2001,X14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,127.071
2001,X15,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,180.692
2001,X16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61.65
2001,X20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.413
2001,X22,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,237.017
2001,X24,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,58.042
2001,X26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,118.156
2001,X27,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,274.896
2001,X28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,168.311
2001,X29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,215.631
2001,X30,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,206.232
2001,X31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62.988
2001,X32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57.367
2001,X33,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,116.607
2001,X34,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,166.412
2001,X35,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,327.121
2001,X44,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,149.546
2001,X45,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,75.675
2001,X46,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,276.284
2001,X48,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,205.779
2001,X50,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,240.587
2001,X53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,135.6
2001,X56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,205.409
2001,X57,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,236.841
2001,X58,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,81.184
2001,X62,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,194.235
2001,X67,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,276.154
2001,X68,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,373.197
2001,X69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.551
2001,X70,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,193.229
2001,X74,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,143.646
2001,X75,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,137.97
2001,X81,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,196.463
2001,X82,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,208.283
2001,X83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,228.671
2001,X87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82.669
2001,X89,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,248.351
2001,X92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88.463
2001,X93,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,361.35
2001,X94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,188.287
2001,X98,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,249.432
2001,X104,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,267.9
2001,X107,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,207.464
2001,X108,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,256.079
2001,X109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82.833
2001,X110,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,262.656
2001,X111,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,239.924
2001,X115,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,61.471
2001,X117,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,259.258
2001,X118,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,106.656
2001,X125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,215.704
2001,X127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100.427
2001,X129,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155.615
2001,X130,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,356.629
2001,X133,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,178.858
2001,X135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,107.437
2001,X136,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,288.286
2001,X137,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.742
2001,X138,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,189.316
2001,X139,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,180.968
2001,X142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113.125
2001,X146,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,270.25
2001,X149,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,270.909
2001,X151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.392
2001,X153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.226
2001,X156,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,186.254
2001,X157,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.458
2001,X160,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,150.552
2001,X161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.098
2001,X163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107.779
2001,X164,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,225.166
2001,X165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,81.55
2001,X167,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,159.151
2001,X168,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,108.996
2001,X169,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,366.096
2001,X170,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,185.046
2001,X171,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,208.973
2001,X174,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,359.38
2001,X175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,351.046
2001,X176,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,211.97
2001,X177,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,227.317
2001,X178,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,279.543
2001,X185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,175.52
2001,X186,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,397.899
2001,X189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,94.933
2001,X190,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,241.799
2001,X193,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,348.826
2001,X197,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,156.367
2001,X199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,347.893
2001,X201,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,588.571
2001,X202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,511.5
2001,X205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,194.741
2001,X206,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,387.178
2001,X208,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,289.593
2001,X210,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,311.654
2001,X211,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,225.97
2001,X213,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,212.729
2001,X220,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,224.563
2001,X221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.027
2001,X223,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,313.962
2001,X224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128.683
2001,X225,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,172.842
2001,X227,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,319.305
2001,X229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,124.796
2001,X230,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,161.94
2001,X232,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,332.775
2001,X233,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,265.779
2001,X234,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,261.788
2001,X235,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,302.288
2001,X236,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,275.265
2001,X237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73.29
2001,X239,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,324.337
2001,X242,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,261.183
2001,X253,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,279.221
2001,X255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.899
2001,X256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.183
2001,X257,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,468.003
2001,X259,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,192.317
2001,X265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,146.642
2001,X266,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,148.396
2001,X267,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,259.125
2001,X268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,102.25
2001,X273,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,552.333
2001,X278,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,82.179
2001,X280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88.409
2001,X282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85.388
2001,X283,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,85.474
2001,X286,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,154.509
2001,X287,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,85.338
2001,X290,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,120.446
2001,X291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,129.305
2001,X292,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,377.634
2001,X293,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,329.056
2001,X296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.154
2001,X299,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,320.779
2001,X300,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,314.621
2001,X301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,289.185
2001,X302,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,322.704
2001,X303,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,379.668
2001,X304,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,117.234
2001,X307,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,364.779
2001,X308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,101.984
2001,X311,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,172.369
2001,X313,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,336.354
2001,X318,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,235.083
2001,X322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,83.242
2001,X324,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,104.705
2001,X325,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,198.762
2001,X328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,253.492
2001,X329,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,343.558
2001,X330,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,99.604
2001,X331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,279.979
2001,X333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70.735
2001,X334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,64.528
2001,X335,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,108.101
2001,X336,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,307.779
2001,X338,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,134.487
2001,X339,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,434.158
2001,X342,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,479.429
2002,X2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,144.854
2002,X3,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,143.575
2002,X5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9
2002,X6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,64.312
2002,X9,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,393.119
2002,X11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.992
2002,X12,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,328.155
2002,X14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,179.936
2002,X15,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,273.38
2002,X16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89.301
2002,X20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.044
2002,X22,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,218.828
2002,X24,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,79.953
2002,X26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,200.692
2002,X27,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,320.474
2002,X28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,153.774
2002,X29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,239.149
2002,X30,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,238.417
2002,X31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66.883
2002,X32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85.536
2002,X33,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,165.895
2002,X34,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,286.854
2002,X35,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,259.741
2002,X44,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,211.697
2002,X45,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,127
2002,X46,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,253.647
2002,X48,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,295.34
2002,X50,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,260.946
2002,X53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,178.993
2002,X56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,284.608
2002,X57,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,273.201
2002,X58,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,153.473
2002,X62,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,169.034
2002,X67,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,499.808
2002,X68,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,560.631
2002,X69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.113
2002,X70,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,296.236
2002,X74,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,194.554
2002,X75,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,152.454
2002,X81,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,212.489
2002,X82,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,285.166
2002,X83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,177.878
2002,X87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92.15
2002,X89,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,307.732
2002,X92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119.68
2002,X93,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,300.159
2002,X94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,181.786
2002,X98,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,426.648
2002,X104,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,487.094
2002,X107,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,199.35
2002,X108,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,323.139
2002,X109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115.348
2002,X110,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,275.825
2002,X111,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,279.558
2002,X115,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,116.987
2002,X117,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,171.153
2002,X118,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,185.55
2002,X125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,260.55
2002,X127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,274.812
2002,X129,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,179.594
2002,X130,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,365.092
2002,X133,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,240.443
2002,X135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,103.518
2002,X136,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,441.603
2002,X137,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.407
2002,X138,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,352.098
2002,X139,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,422.735
2002,X142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,117.991
2002,X146,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,344.735
2002,X149,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,335.901
2002,X151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.54
2002,X153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.614
2002,X156,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,194.129
2002,X157,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67.956
2002,X160,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,167.133
2002,X161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.898
2002,X163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103.682
2002,X164,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,272.499
2002,X165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,131.914
2002,X167,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,150.892
2002,X168,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,186.325
2002,X169,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,361.628
2002,X170,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,208.517
2002,X171,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,213.088
2002,X174,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,470.983
2002,X175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400.471
2002,X176,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,195.157
2002,X177,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,347.343
2002,X178,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,300.541
2002,X185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,190.831
2002,X186,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,529.467
2002,X189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114.423
2002,X190,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,273.379
2002,X193,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,551.724
2002,X197,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,192.047
2002,X199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,445.741
2002,X201,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,557.188
2002,X202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,600.179
2002,X205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,114.212
2002,X206,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,513.141
